Gene ID,HMMER,Hotpep,DIAMOND,#ofTools,genome_name
NODE_4_length_328741_cov_18.213174_130,GT14(3-255),-,GT0,2,CM1_53_S216
NODE_4_length_328741_cov_18.213174_300,GH1(7-473),GH1(11),GH1,3,CM1_53_S216
NODE_4_length_328741_cov_18.213174_301,GH1(5-480),GH1(11),GH1,3,CM1_53_S216
NODE_4_length_328741_cov_18.213174_80,GH1(6-257),GH1(48),-,2,CM1_53_S216
NODE_4_length_328741_cov_18.213174_90,GH1(10-478),GH1(11),GH1,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_104,CE9(6-365),-,CE9,2,CM1_53_S216
NODE_5_length_298255_cov_18.915124_108,GT51(50-221),GT51(13),GT51,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_129,GH43_24(22-267),GH43(91),GH43_24,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_153,GH4(6-183),GH4(2),GH4,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_203,GH170(3-354),-,GH170,2,CM1_53_S216
NODE_5_length_298255_cov_18.915124_225,GH1(1-476),GH1(57),GH1,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_227,GH1(6-478),GH1(11),GH1,3,CM1_53_S216
NODE_5_length_298255_cov_18.915124_235,GH109(1-135),-,-,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_286,GT2_Glycos_transf_2(5-150),GT2(193),GT2,3,CM1_53_S216
NODE_6_length_283576_cov_18.982388_13,GH1(1-372),-,GH1,2,CM1_53_S216
NODE_6_length_283576_cov_18.982388_188,GH38(5-277),-,GH38,2,CM1_53_S216
NODE_6_length_283576_cov_18.982388_251,GH1(7-477),GH1(11),GH1,3,CM1_53_S216
NODE_6_length_283576_cov_18.982388_271,GH13_29(25-368),GH13(3),GH13_29,3,CM1_53_S216
NODE_6_length_283576_cov_18.982388_277,CE4(44-150),CE4(84),CE4,3,CM1_53_S216
NODE_6_length_283576_cov_18.982388_48,GH1(2-486),GH1(1),GH1,3,CM1_53_S216
NODE_6_length_283576_cov_18.982388_49,GH1(2-451),-,GH1,2,CM1_53_S216
NODE_6_length_283576_cov_18.982388_97,GH1(4-470),GH1(1),GH1,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_116,CE4(241-356),CE4(67),CE4,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_117,CE4(240-369),CE4(67),CE4,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_129,CE9(7-369),CE9(63),CE9,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_132,GH4(4-181),GH4(14),GH4,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_17,GH1(3-458),GH1(20),GH1,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_228,GH13_20(34-324),GH13(61),GH13,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_26,GH32(9-308),GH32(38)+CBM38(7),GH32,3,CM1_53_S216
NODE_7_length_259700_cov_17.144641_78,GH112(6-720),GH112(1),GH112,3,CM1_53_S216
NODE_8_length_249705_cov_16.092388_138,GH1(2-483),GH1(1),GH1,3,CM1_53_S216
NODE_8_length_249705_cov_16.092388_18,GT4(187-337),-,GT4,2,CM1_53_S216
NODE_8_length_249705_cov_16.092388_19,GT4(187-298),-,GT4,2,CM1_53_S216
NODE_8_length_249705_cov_16.092388_194,GH109(2-166),-,-,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_21,GT2_Glycos_transf_2(21-168),-,GT2,2,CM1_53_S216
NODE_8_length_249705_cov_16.092388_215,CE1(14-249),-,-,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_234,GT51(45-213),GT51(58),GT51,3,CM1_53_S216
NODE_8_length_249705_cov_16.092388_7,CE4(222-356),-,-,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_92,GT28(189-344),GT28(25),GT28,3,CM1_53_S216
NODE_9_length_244480_cov_19.140714_222,GH73(287-401),GH73(56),GH73,3,CM1_53_S216
NODE_9_length_244480_cov_19.140714_78,GH1(3-456),GH1(6),GH1,3,CM1_53_S216
NODE_9_length_244480_cov_19.140714_80,GH38(3-254),GH38(10),GH38,3,CM1_53_S216
NODE_4_length_328741_cov_18.213174_175,-,GH0(66),-,1,CM1_53_S216
NODE_1_length_475040_cov_17.429279_256,-,GH23(34),GH23,2,CM1_53_S216
NODE_5_length_298255_cov_18.915124_107,-,GH23(192),-,1,CM1_53_S216
NODE_7_length_259700_cov_17.144641_25,-,GH32(46),-,1,CM1_53_S216
NODE_2_length_369650_cov_16.350476_332,-,GH38(8),-,1,CM1_53_S216
NODE_17_length_79867_cov_17.411437_46,-,CBM5(48),-,1,CM1_53_S216
NODE_25_length_14747_cov_17.428317_5,-,CBM5(68),-,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_73,-,CBM5(68),-,1,CM1_53_S216
NODE_1_length_475040_cov_17.429279_358,-,-,GT2,1,CM1_53_S216
NODE_1_length_475040_cov_17.429279_366,-,-,CBM50,1,CM1_53_S216
NODE_1_length_475040_cov_17.429279_415,-,-,CBM50+GH25,1,CM1_53_S216
NODE_2_length_369650_cov_16.350476_108,-,-,CBM50,1,CM1_53_S216
NODE_2_length_369650_cov_16.350476_139,-,-,GT1,1,CM1_53_S216
NODE_2_length_369650_cov_16.350476_259,-,-,GH73,1,CM1_53_S216
NODE_2_length_369650_cov_16.350476_312,-,-,GH5_11,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_134,-,-,GT2,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_191,-,-,GH28,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_196,-,-,GH13,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_248,-,-,GT4,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_253,-,-,GT83,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_282,-,-,GT47,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_300,-,-,GH1,1,CM1_53_S216
NODE_4_length_328741_cov_18.213174_323,-,-,CBM50,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_51,-,-,GH13_11,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_74,-,-,GT58,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_147,-,-,GH84,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_152,-,-,GH4,1,CM1_53_S216
NODE_5_length_298255_cov_18.915124_190,-,-,GH13,1,CM1_53_S216
NODE_6_length_283576_cov_18.982388_211,-,-,GH13_31,1,CM1_53_S216
NODE_6_length_283576_cov_18.982388_213,-,-,GH13_23,1,CM1_53_S216
NODE_6_length_283576_cov_18.982388_264,-,-,GT2,1,CM1_53_S216
NODE_7_length_259700_cov_17.144641_103,-,-,GH73,1,CM1_53_S216
NODE_7_length_259700_cov_17.144641_105,-,-,CBM50,1,CM1_53_S216
NODE_7_length_259700_cov_17.144641_147,-,-,GT30,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_23,-,-,GT9,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_58,-,-,GT4,1,CM1_53_S216
NODE_8_length_249705_cov_16.092388_109,-,-,CBM32,1,CM1_53_S216
NODE_9_length_244480_cov_19.140714_1,-,-,GH3,1,CM1_53_S216
NODE_9_length_244480_cov_19.140714_20,-,-,GH23,1,CM1_53_S216
NODE_10_length_181578_cov_18.182347_51,-,-,GT2,1,CM1_53_S216
NODE_10_length_181578_cov_18.182347_55,-,-,GH25,1,CM1_53_S216
NODE_10_length_181578_cov_18.182347_120,-,-,GH13_31,1,CM1_53_S216
NODE_13_length_110521_cov_15.788494_52,-,-,GT2,1,CM1_53_S216
NODE_13_length_110521_cov_15.788494_88,-,-,GH13_30,1,CM1_53_S216
NODE_14_length_102212_cov_16.602106_64,-,-,GH130,1,CM1_53_S216
NODE_14_length_102212_cov_16.602106_93,-,-,GH152,1,CM1_53_S216
NODE_14_length_102212_cov_16.602106_100,-,-,CE0,1,CM1_53_S216
NODE_15_length_96346_cov_16.185504_19,-,-,GH28,1,CM1_53_S216
NODE_15_length_96346_cov_16.185504_22,-,-,GH13,1,CM1_53_S216
NODE_16_length_95524_cov_18.590312_24,-,-,CBM50,1,CM1_53_S216
NODE_16_length_95524_cov_18.590312_78,-,-,GH1,1,CM1_53_S216
NODE_17_length_79867_cov_17.411437_59,-,-,GH1,1,CM1_53_S216
NODE_18_length_77303_cov_18.895732_35,-,-,CBM48+GH13_9,1,CM1_53_S216
NODE_21_length_44769_cov_17.922607_20,-,-,GT2,1,CM1_53_S216
NODE_21_length_44769_cov_17.922607_21,-,-,GT2,1,CM1_53_S216
NODE_29_length_7408_cov_18.247768_2,-,-,GH38,1,CM1_53_S216
NODE_10_length_131686_cov_13.799428_22,GH1(7-467),GH1(66),GH1,3,CM2_89_S218
NODE_10_length_131686_cov_13.799428_78,GH1(2-466),GH1(1),GH1,3,CM2_89_S218
NODE_11_length_112600_cov_12.722227_39,GH1(11-480),GH1(27),GH1,3,CM2_89_S218
NODE_11_length_112600_cov_12.722227_57,GH1(3-459),GH1(19),GH1,3,CM2_89_S218
NODE_14_length_96346_cov_9.151758_65,GH1(2-470),GH1(1),GH1,3,CM2_89_S218
NODE_15_length_95524_cov_13.777603_42,GH1(3-466),GH1(19),GH1,3,CM2_89_S218
NODE_16_length_79867_cov_11.064735_20,GH170(3-359),-,GH170,2,CM2_89_S218
NODE_16_length_79867_cov_11.064735_23,CBM66(238-392)+GH32(525-832)+CBM66(1095-1257),GH32(24)+CBM38(1)+CBM66(1),CBM66+GH32,3,CM2_89_S218
NODE_17_length_77303_cov_14.380157_37,GT5(3-475),GT5(26),GT5,3,CM2_89_S218
NODE_18_length_66736_cov_10.181897_23,GH25(6-181),GH25(88),GH25,3,CM2_89_S218
NODE_18_length_66736_cov_10.181897_41,GT4(207-354),GT4(55),GT4,3,CM2_89_S218
NODE_18_length_66736_cov_10.181897_43,GT4(164-312),GT4(42),GT4,3,CM2_89_S218
NODE_18_length_66736_cov_10.181897_50,CE4(235-362),-,CE4,2,CM2_89_S218
