isolate	clade
GCA_024589955.1_ASM2458995v1_genomic	clade_1
GCA_024589935.1_ASM2458993v1_genomic	clade_1
GCA_024589895.1_ASM2458989v1_genomic	clade_1
GCA_024589875.1_ASM2458987v1_genomic	clade_1
GCA_024592555.1_ASM2459255v1_genomic	clade_1
GCA_024592535.1_ASM2459253v1_genomic	clade_1
GCA_024592505.1_ASM2459250v1_genomic	clade_1
GCA_024591935.1_ASM2459193v1_genomic	clade_1
GCA_024591855.1_ASM2459185v1_genomic	clade_1
GCA_024591885.1_ASM2459188v1_genomic	clade_1
GCA_024591835.1_ASM2459183v1_genomic	clade_1
GCA_024592475.1_ASM2459247v1_genomic	clade_1
GCA_024592455.1_ASM2459245v1_genomic	clade_1
GCA_024592355.1_ASM2459235v1_genomic	clade_1
GCA_024592375.1_ASM2459237v1_genomic	clade_1
GCA_024592365.1_ASM2459236v1_genomic	clade_1
GCA_024592335.1_ASM2459233v1_genomic	clade_1
GCA_024592305.1_ASM2459230v1_genomic	clade_1
GCA_024592275.1_ASM2459227v1_genomic	clade_1
GCA_024592255.1_ASM2459225v1_genomic	clade_1
GCA_024592065.1_ASM2459206v1_genomic	clade_1
GCA_024591985.1_ASM2459198v1_genomic	clade_1
GCA_024592215.1_ASM2459221v1_genomic	clade_1
GCA_024592175.1_ASM2459217v1_genomic	clade_1
GCA_024592165.1_ASM2459216v1_genomic	clade_1
GCA_024592155.1_ASM2459215v1_genomic	clade_1
GCA_024592135.1_ASM2459213v1_genomic	clade_1
GCA_024592085.1_ASM2459208v1_genomic	clade_1
GCA_024591755.1_ASM2459175v1_genomic	clade_1
GCA_024591735.1_ASM2459173v1_genomic	clade_1
GCA_024591715.1_ASM2459171v1_genomic	clade_1
GCA_024591695.1_ASM2459169v1_genomic	clade_1
GCA_024591795.1_ASM2459179v1_genomic	clade_1
GCA_024591615.1_ASM2459161v1_genomic	clade_1
GCA_024591595.1_ASM2459159v1_genomic	clade_1
GCA_024591565.1_ASM2459156v1_genomic	clade_1
GCA_024591535.1_ASM2459153v1_genomic	clade_1
GCA_024591505.1_ASM2459150v1_genomic	clade_1
GCA_024591445.1_ASM2459144v1_genomic	clade_1
GCA_024591435.1_ASM2459143v1_genomic	clade_1
GCA_024591405.1_ASM2459140v1_genomic	clade_1
GCA_024591395.1_ASM2459139v1_genomic	clade_1
GCA_024591175.1_ASM2459117v1_genomic	clade_1
GCA_024591345.1_ASM2459134v1_genomic	clade_1
GCA_024591335.1_ASM2459133v1_genomic	clade_1
GCA_024591315.1_ASM2459131v1_genomic	clade_1
GCA_024591295.1_ASM2459129v1_genomic	clade_1
GCA_024591265.1_ASM2459126v1_genomic	clade_1
GCA_024591235.1_ASM2459123v1_genomic	clade_1
GCA_024591215.1_ASM2459121v1_genomic	clade_1
GCA_024591225.1_ASM2459122v1_genomic	clade_1
GCA_024591115.1_ASM2459111v1_genomic	clade_1
GCA_024591065.1_ASM2459106v1_genomic	clade_1
GCA_024591035.1_ASM2459103v1_genomic	clade_1
GCA_024591025.1_ASM2459102v1_genomic	clade_1
GCA_024591015.1_ASM2459101v1_genomic	clade_1
GCA_024590995.1_ASM2459099v1_genomic	clade_1
GCA_024590755.1_ASM2459075v1_genomic	clade_1
GCA_024590955.1_ASM2459095v1_genomic	clade_1
GCA_024590925.1_ASM2459092v1_genomic	clade_1
GCA_024590915.1_ASM2459091v1_genomic	clade_1
GCA_024590895.1_ASM2459089v1_genomic	clade_1
GCA_024590875.1_ASM2459087v1_genomic	clade_1
GCA_024590855.1_ASM2459085v1_genomic	clade_1
GCA_024590825.1_ASM2459082v1_genomic	clade_1
GCA_024590475.1_ASM2459047v1_genomic	clade_1
GCA_024590435.1_ASM2459043v1_genomic	clade_1
GCA_024590695.1_ASM2459069v1_genomic	clade_1
GCA_024590655.1_ASM2459065v1_genomic	clade_1
GCA_024590665.1_ASM2459066v1_genomic	clade_1
GCA_024590625.1_ASM2459062v1_genomic	clade_1
GCA_024590615.1_ASM2459061v1_genomic	clade_1
GCA_024590595.1_ASM2459059v1_genomic	clade_1
GCA_024590565.1_ASM2459056v1_genomic	clade_1
CM07_207_S181	clade_2
CM07_211_S182	clade_2
CM07_212_S183	clade_2
CM1_51A_S205	clade_2
CM1_51B_S206	clade_2
CM1_51C_S207	clade_2
CM2_10A_S213	clade_2
CM2_10B_S214	clade_2
CM2_19A_S216	clade_2
CM2_19B_S217	clade_2
CM2_8A_S211	clade_2
CM2_8B_S212	clade_2
CM3_32_S221	clade_2
CM3_33_S219	clade_2
CM3_70_S221	clade_2
CM3_76_S224	clade_2
CM3_85_S222	clade_2
CM6_47_S238	clade_2
Ref_Cinnocuum_14501	clade_2
GCA_000225685_1_Erys_bact_2_2_44A_V1_genomic	clade_2
GCA_000371425_1_Clos_inno_2959_V1_genomic	clade_2
GCA_003149285_1_ASM314928v1_genomic	clade_2
GCA_003459885_1_ASM345988v1_genomic	clade_2
GCA_900116735_1_IMG_taxon_2623620482_annotated_assembly_genomic	clade_2
GCA_902166045_1_26009_2_26_genomic	clade_2
GCA_902166105_1_26009_2_25_genomic	clade_2
SRR12535052	clade_2
SRR12535053	clade_2
SRR12535137	clade_2
SRR12535138	clade_2
SRR12535142	clade_2
SRR12535147	clade_2
SRR12535148	clade_2
SRR12535149	clade_2
SRR12535150	clade_2
SRR12535152	clade_2
GCA_024591545.1_ASM2459154v1_genomic	clade_2
GCA_024591655.1_ASM2459165v1_genomic	clade_2
GCA_024590515.1_ASM2459051v1_genomic	clade_2
GCA_024590715.1_ASM2459071v1_genomic	clade_2
GCA_024590795.1_ASM2459079v1_genomic	clade_2
GCA_024591745.1_ASM2459174v1_genomic	clade_2
GCA_024591665.1_ASM2459166v1_genomic	clade_2
GCA_024590085.1_ASM2459008v1_genomic	clade_2
GCA_024590965.1_ASM2459096v1_genomic	clade_2
GCA_024590495.1_ASM2459049v1_genomic	clade_2
GCA_024589905.1_ASM2458990v1_genomic	clade_2
GCA_024590525.1_ASM2459052v1_genomic	clade_2
GCA_024591865.1_ASM2459186v1_genomic	clade_2
GCA_024591975.1_ASM2459197v1_genomic	clade_2
GCA_024592115.1_ASM2459211v1_genomic	clade_2
GCA_024591625.1_ASM2459162v1_genomic	clade_2
GCA_024591195.1_ASM2459119v1_genomic	clade_2
GCA_024592425.1_ASM2459242v1_genomic	clade_2
GCA_024591815.1_ASM2459181v1_genomic	clade_2
GCA_003433985_1_ASM343398v1_genomic	clade_3
GCA_003481775_1_ASM348177v1_genomic	clade_3
SRR12535055	clade_3
GCA_024592035.1_ASM2459203v1_genomic	clade_3
GCA_024592055.1_ASM2459205v1_genomic	clade_3
GCA_024591375.1_ASM2459137v1_genomic	clade_3
GCA_024591495.1_ASM2459149v1_genomic	clade_3
GCA_024592235.1_ASM2459223v1_genomic	clade_3
GCA_024592285.1_ASM2459228v1_genomic	clade_3
GCA_024591095.1_ASM2459109v1_genomic	clade_3
CM06_79_S180	clade_4
CM2_11_S218	clade_4
CM2_20_S220	clade_4
CM6_01_S226	clade_4
CM6_02_S227	clade_4
CM6_04_S229	clade_4
CM6_05_S230	clade_4
CM6_06_S231	clade_4
CM6_08_S233	clade_4
CM6_34_S237	clade_4
CM6_81_S240	clade_4
GCA_000165065_1_ASM16506v1_genomic	clade_4
GCA_003603195_1_ASM360319v1_genomic	clade_4
GCA_003603255_1_ASM360325v1_genomic	clade_4
GCA_902374175_1_MGYG_HGUT_01352_genomic	clade_4
SRR12535143	clade_4
SRR12535151	clade_4
GCA_024590775.1_ASM2459077v1_genomic	clade_4
GCA_024590815.1_ASM2459081v1_genomic	clade_4
GCA_024591415.1_ASM2459141v1_genomic	clade_4
GCA_024591875.1_ASM2459187v1_genomic	clade_4
GCA_024591125.1_ASM2459112v1_genomic	clade_4
GCA_024591135.1_ASM2459113v1_genomic	clade_4
GCA_024590735.1_ASM2459073v1_genomic	clade_4
GCA_024590555.1_ASM2459055v1_genomic	clade_4
GCA_024592495.1_ASM2459249v1_genomic	clade_4
GCA_024591955.1_ASM2459195v1_genomic	clade_4
GCA_024592015.1_ASM2459201v1_genomic	clade_4
