isolate	clade	disease
GCA_024591655.1_ASM2459165v1_genomic	clade_2	asymptomatic
GCA_024590515.1_ASM2459051v1_genomic	clade_2	dia_w_cdiff
GCA_024590715.1_ASM2459071v1_genomic	clade_2	asymptomatic
GCA_024590795.1_ASM2459079v1_genomic	clade_2	asymptomatic
GCA_024591745.1_ASM2459174v1_genomic	clade_2	asymptomatic
GCA_024591665.1_ASM2459166v1_genomic	clade_2	asymptomatic
GCA_024590085.1_ASM2459008v1_genomic	clade_2	dia_w_cdiff
GCA_024590965.1_ASM2459096v1_genomic	clade_2	asymptomatic
GCA_024590495.1_ASM2459049v1_genomic	clade_2	dia_wo_cdiff
GCA_024589905.1_ASM2458990v1_genomic	clade_2	dia_w_cdiff
GCA_024590525.1_ASM2459052v1_genomic	clade_2	dia_wo_cdiff
GCA_024591865.1_ASM2459186v1_genomic	clade_2	asymptomatic
GCA_024591975.1_ASM2459197v1_genomic	clade_2	asymptomatic
GCA_024592115.1_ASM2459211v1_genomic	clade_2	asymptomatic
GCA_024591625.1_ASM2459162v1_genomic	clade_2	asymptomatic
GCA_024591195.1_ASM2459119v1_genomic	clade_2	dia_wo_cdiff
GCA_024592425.1_ASM2459242v1_genomic	clade_2	dia_w_cdiff
GCA_024591815.1_ASM2459181v1_genomic	clade_2	asymptomatic
GCA_024592035.1_ASM2459203v1_genomic	clade_3	asymptomatic
GCA_024592055.1_ASM2459205v1_genomic	clade_3	asymptomatic
GCA_024591375.1_ASM2459137v1_genomic	clade_3	dia_w_cdiff
GCA_024591495.1_ASM2459149v1_genomic	clade_3	dia_wo_cdiff
GCA_024592235.1_ASM2459223v1_genomic	clade_3	dia_w_cdiff
GCA_024592285.1_ASM2459228v1_genomic	clade_3	dia_w_cdiff
GCA_024591095.1_ASM2459109v1_genomic	clade_3	dia_w_cdiff
GCA_024590775.1_ASM2459077v1_genomic	clade_4	asymptomatic
GCA_024590815.1_ASM2459081v1_genomic	clade_4	asymptomatic
GCA_024591415.1_ASM2459141v1_genomic	clade_4	dia_w_cdiff
GCA_024591875.1_ASM2459187v1_genomic	clade_4	asymptomatic
GCA_024591125.1_ASM2459112v1_genomic	clade_4	dia_wo_cdiff
GCA_024591135.1_ASM2459113v1_genomic	clade_4	dia_wo_cdiff
GCA_024590735.1_ASM2459073v1_genomic	clade_4	asymptomatic
GCA_024590555.1_ASM2459055v1_genomic	clade_4	dia_wo_cdiff
GCA_024592495.1_ASM2459249v1_genomic	clade_4	dia_wo_cdiff
GCA_024591955.1_ASM2459195v1_genomic	clade_4	asymptomatic
GCA_024592015.1_ASM2459201v1_genomic	clade_4	asymptomatic
SRR12535044	clade_1	colonic mucosa
SRR12535045	clade_1	colonic mucosa
SRR12535046	clade_1	ileal mucosa
SRR12535047	clade_1	ileal mucosa
SRR12535048	clade_1	ileal mucosa
SRR12535049	clade_1	ileal mucosa
SRR12535050	clade_1	ileal mucosa
SRR12535051	clade_1	ileal mucosa
SRR12535052	clade_2	reference genome
SRR12535053	clade_2	colonic mucosa
SRR12535054	clade_1	colonic mucosa
SRR12535055	clade_3	colonic mucosa
SRR12535056	clade_1	ileal mucosa
SRR12535057	clade_1	ileal mucosa
SRR12535136	clade_1	 creeping fat
SRR12535137	clade_2	 creeping fat
SRR12535138	clade_2	 creeping fat
SRR12535139	clade_1	 creeping fat
SRR12535140	clade_1	 creeping fat
SRR12535141	clade_1	 creeping fat
SRR12535142	clade_2	 creeping fat
SRR12535143	clade_4	 creeping fat
SRR12535144	clade_1	 mesenteric adipose tissue
SRR12535145	clade_1	 mesenteric adipose tissue
SRR12535146	clade_1	 mesenteric adipose tissue
SRR12535147	clade_2	 mesenteric adipose tissue
SRR12535148	clade_2	 mesenteric adipose tissue
SRR12535149	clade_2	 mesenteric adipose tissue
SRR12535150	clade_2	 creeping fat
SRR12535151	clade_4	creeping fat
SRR12535152	clade_2	creeping fat
